0,E_0,E_0,0.1
0,E_2,E_2,0.1
0,E_2,E_3,0.1
0,E_2,E_2,0.1
0,E_2,E_2,0.1
0,E_5,E_5,0.1
0,E_5,E_5,0.1
0,E_5,E_6,0.1
0,E_7,E_5,0.1
0,E_7,E_6,0.1
0,E_7,E_6,0.1
0,E_7,E_6,0.1
0,E_6,E_7,0.1
0,E_6,E_6,0.1
0,E_6,E_6,0.1
0,E_6,E_6,0.1
0,E_6,E_6,0.1
0,E_6,E_6,0.1
0,E_6,E_5,0.1
0,E_9,E_6,0.1
0,E_10,E_10,0.1
0,E_10,E_10,0.1
0,E_11,E_11,0.1
0,E_11,E_12,0.6
0,E_12,E_11,0.6
0,E_11,E_11,0.1
0,E_14,E_13,0.1
0,E_14,E_15,0.1
0,E_14,E_15,0.1
0,E_15,E_14,0.1
0,E_13,E_13,0.1
0,E_14,E_15,0.2
0,E_16,E_16,0.1
0,E_16,E_16,0.7
0,E_13,E_14,0.1
0,E_15,E_13,0.1
0,E_15,E_13,0.1
0,E_13,E_13,0.1
0,E_13,E_13,0.1
0,E_14,E_15,0.1
0,E_13,E_14,0.1
0,E_14,E_14,0.1
0,E_13,E_14,0.1
0,E_13,E_13,0.1
0,E_13,E_14,0.1
0,E_16,E_16,0.1
0,E_16,E_16,0.5
0,E_13,E_13,0.1
0,E_13,E_13,0.1
0,E_13,E_13,0.1
0,E_13,E_13,0.1
0,E_13,E_13,0.1
0,E_13,E_13,0.1
0,E_16,E_16,0.2
0,E_13,E_13,0.1
0,E_16,E_16,0.3
0,E_13,E_13,0.1
0,E_15,E_16,0.1
0,E_14,E_13,0.1
0,E_14,E_13,0.1
0,E_17,E_17,0.1
0,E_17,E_17,0.1
0,E_17,E_17,0.1
0,E_17,E_19,0.1
0,E_19,E_19,0.3
0,E_18,E_19,0.1
0,E_19,E_17,0.1
0,E_19,E_19,0.1
0,E_19,E_19,0.1
0,E_19,E_19,0.1
0,E_19,E_18,0.2
0,E_19,E_18,0.1
0,E_19,E_19,0.1
0,E_19,E_18,0.1
0,E_19,E_18,0.1
0,E_19,E_18,0.1
0,E_18,E_19,0.1
0,E_18,E_19,0.1
0,E_19,E_19,0.3
0,E_18,E_20,0.2
0,E_20,E_20,0.1
0,E_20,E_19,0.1
0,E_20,E_18,0.1
0,E_20,E_18,0.1
0,E_20,E_20,0.1
0,E_22,E_21,0.1
0,E_21,E_21,0.1
0,E_21,E_22,0.1
0,E_21,E_21,0.1
0,E_21,E_24,0.1
0,E_22,E_21,0.1
0,E_22,E_24,0.1
0,E_25,E_24,0.1
0,E_24,E_24,0.1
0,E_24,E_25,0.1
0,E_24,E_25,0.1
0,E_24,E_22,0.1
0,E_24,E_25,0.1
0,E_24,E_21,0.1
0,E_25,E_24,0.1
0,E_25,E_24,0.1
0,E_25,E_25,0.1
0,E_24,E_24,0.2
0,E_24,E_21,0.1
0,E_24,E_25,0.1
0,E_25,E_25,0.1
0,E_25,E_24,0.1
0,E_25,E_24,0.1
0,E_25,E_24,0.1
0,E_24,E_21,0.1
0,E_24,E_21,0.1
0,E_25,E_22,0.1
0,E_25,E_24,0.1
0,E_25,E_24,0.1
0,E_25,E_24,0.1
0,E_25,E_24,0.1
0,E_25,E_24,0.1
0,E_25,E_24,0.2
0,E_25,E_24,0.1
0,E_26,E_26,0.1
0,E_26,E_26,0.1
0,E_27,E_27,0.1
0,E_27,E_24,0.1
0,E_27,E_27,0.1
0,E_26,E_27,0.1
0,E_27,E_24,0.2
0,E_27,E_27,0.1
0,E_27,E_27,0.1
0,E_26,E_26,0.1
0,E_27,E_27,0.1
0,E_27,E_27,0.1
0,E_27,E_21,0.1
0,E_26,E_26,0.2
0,E_26,E_26,0.1
0,E_27,E_26,0.1
0,E_26,E_26,0.1
0,E_27,E_27,0.2
0,E_26,E_27,0.1
0,E_27,E_27,0.1
0,E_28,E_28,0.1
0,E_29,E_29,0.2
0,E_30,E_30,0.1
0,E_30,E_29,0.1
0,E_30,E_30,0.1
0,E_30,E_30,0.1
0,E_32,E_32,0.1
0,E_32,E_32,0.1
0,E_32,E_32,0.1
1,E_1,E_1,0.1
1,E_2,E_3,0.1
1,E_3,E_2,0.1
1,E_5,E_6,0.1
1,E_5,E_6,0.1
1,E_7,E_5,0.1
1,E_7,E_6,0.1
1,E_7,E_6,0.1
1,E_6,E_7,0.1
1,E_6,E_6,0.1
1,E_6,E_5,0.1
1,E_10,E_10,0.1
1,E_10,E_10,0.1
1,E_11,E_12,0.1
1,E_11,E_11,0.1
1,E_11,E_11,0.1
1,E_11,E_11,0.1
1,E_11,E_11,0.1
1,E_11,E_11,0.1
1,E_11,E_11,0.1
1,E_11,E_12,1.2
1,E_12,E_11,1.2
1,E_12,E_11,0.1
1,E_11,E_11,0.1
1,E_11,E_11,0.1
1,E_11,E_11,0.1
1,E_14,E_15,0.1
1,E_14,E_16,0.1
1,E_14,E_14,0.1
1,E_14,E_14,0.1
1,E_14,E_15,0.1
1,E_16,E_16,0.1
1,E_16,E_16,0.1
1,E_16,E_16,0.1
1,E_13,E_13,0.1
1,E_13,E_13,0.1
1,E_16,E_16,0.1
1,E_16,E_16,0.1
1,E_16,E_16,0.2
1,E_16,E_16,0.1
1,E_13,E_16,0.1
1,E_13,E_14,0.1
1,E_13,E_13,0.1
1,E_13,E_16,0.1
1,E_13,E_13,0.1
1,E_15,E_14,0.1
1,E_16,E_15,0.1
1,E_13,E_13,0.1
1,E_13,E_13,0.1
1,E_16,E_16,0.1
1,E_13,E_13,0.1
1,E_16,E_14,0.1
1,E_13,E_13,0.1
1,E_14,E_13,0.2
1,E_17,E_17,0.1
1,E_19,E_19,0.1
1,E_19,E_19,0.1
1,E_19,E_19,0.1
1,E_19,E_19,0.1
1,E_19,E_18,0.1
1,E_19,E_19,0.1
1,E_19,E_19,0.2
1,E_18,E_19,0.2
1,E_19,E_20,0.1
